_num,_pageUrl,title,metadata,master_image,image_thumb,image_thumb/_source
1474,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=Mexico+%28North+America%29&page=1&kv=6982&record=10&module=objects,? Chile,ID Number: 12159 Maker: Pro-Choice Public Education Project Technique: offset Date Made: late 1990s Measurements: 38 cm x 25 cm; 14 15/16 in x 9 13/16 in Main Subject: Women; Abortion/Pro-Choice Materials: paper (fiber product) Digitized: Y Full Text: Pick a boyfriend. Not having a choice sucks doesn't it? Well being pregnant and not having a choice would suck even more. It's your decision. The Pro-Choice Public Education Project. It's pro-choice or no choice. 1(888)253-CHOICE or www.protectchoice.org Acquisition Number: 1999-164 Notes: Part of a series for Subway and Metro Ads Copyright Status: Under copyright; used by CSPG for educational and research purposes only. Distribution or reproduction beyond that allowed by fair use requires the written permission of the copyright owners.,http://collection-politicalgraphics.org/mxgis/?kv=17700&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=17700&style=thumbnail; http://collection-politicalgraphics.org/mxgis/?kv=17701&style=thumbnail,
631,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=United+States+of+America+%28North+America%29&page=1&kv=1198&record=3&module=objects,"..mein Beitritt zur kommunistischen Partei ist die logishe Folge meines ganzen Lebens und meines ganzen Schaffens!"" -Picasso",ID Number: 19807 Maker: Marv Grayson Technique: offset Date Made: circa 1979 Place Made: North America: United States; California Los Angeles Measurements: 35.5 cm x 21.5 cm; 14 in x 8 7/16 in Main Subject: Socialism & Communism Materials: paper (fiber product) Digitized: Y Full Text: come...celebrate.. 60th anniversary of the communist party u.s.a. hear: Gus hall Angela davis Are you outraged by high prices fuel shortages and plant shutdowns? Alarmed at our decaying cities the increased repression and racism? No matter where you are - the picket line - the gas line - the unemployment line or the assembly line - come and register your protest. Join with Gus Hall and Angela Davis - demand jobs for all! Full Equality! Stop the arms race! Hear a report-back from the C.P.U.S.A. 22nd national convention! Gus Hall gen. secretary c.p.u.s.a. founder united steel workers union Angela Davis co-chairperson natl. alliance against racist and political repression entertainment manana es hoy/black liberation singers/medio norteno/ fritchman auditorium 2936 west 8th st. l.a. sat. sept. 8 1 pm donation: $3/youth & unemp. $2 sponsor: 60th anniversary committee 1250 wilshire blvd. rm. 306 l.a. 90017 tel: (213) 482-3220 [union bug] [in verso] venga...celebre... 60th aniversario del partido comunista e.e.u.u. oiga: Gus hall Angela davis Esta cansado de los altos precios escasez de combustible y desempleo? Le alarma la situacion decandente de las ciudades el auge del racismo y la represion? No importa donde Ud. este - en huelga en la linea de desempleo o de las gasolina o en su fabrica - venga a poner su protesta. Acompane a Gus Hall y Angela Davis - demande trabajos para todos! Igualdad completa! Alto al aumento de armas! Oiga un reporte de la 22a convention nacional del P.C.E.E.U.U. entretenimiento manana es hoy/black liberation singers/medio norteno/ fritchman auditorium 2936 west 8th st. l.a. sab. - 8 de sep. - 1 pm donacion: $3/juventad y desempleados $2 auspiciado por: comite 60th aniversario 1250 wilshire blvd. rm. 306 l.a. 90017 tel: (213) 482-3220 [union bug] Acquisition Number: 2003-084 Notes: Same poster on verso. Copyright Status: Copyright status unknown; may be protected by copyright law.,http://collection-politicalgraphics.org/mxgis/?kv=23785&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=23785&style=thumbnail; http://collection-politicalgraphics.org/mxgis/?kv=23786&style=thumbnail,
660,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=Imperialism&page=1&kv=35488&record=21&module=objects,(REACT),"ID Number: 39963 Maker: Rupert Garcн_a; Jesus Barraza Technique: silkscreen Date Made: 2011 reprint of 1973 original Place Made: United States: California Oakland Measurements: 52.3 cm x 71 cm; 20 9/16 in x 27 15/16 in Main Subject: Immigration; Viet Nam War Era Materials: Cardstock / paperboard (fiber product) Digitized: Y Full Text: ЊзCesen Deportaciн_n! [in pencil] 68/99 Њ©Rupert Garcia 1973/2011 Acquisition Number: 2012-126 Translation: Cease Deportation Notes: print 68 of 99. Reprint of ID 10190. Artist Statement: ""In July Dignidad Rebelde teamed up with Rupert Garcia to produce a print to use as a fundraiser for the Ethnic Studies College at San Francisco State University. We were really happy to have Rupert Garcia pick the 1973 ЊзCesen Deportacion! print to reproduce for this project. Thirty-eight years later and the statement is extremely relevant in the past year President Obama administration has a record 1 million deportations."" Copyright Status: Under copyright; used by CSPG for educational and research purposes only. Distribution or reproduction beyond that allowed by fair use requires the written permission of the copyright owners.",http://collection-politicalgraphics.org/mxgis/?kv=44809&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=44754&style=thumbnail,
483,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=Immigration&page=1&kv=42301&record=40&module=objects,[American Flag with Teepees],ID Number: 14327 Maker: Artist Unknown Technique: offset Date Made: 1963 Place Made: Germany Measurements: 29.21 cm x 20.32 cm; 11 1/2 in x 8 in Main Subject: Germany (Europe); Racism; Labor Materials: paper (fiber product) Digitized: Y Full Text: [translated from German] The Wire Puller White and Blue Collar Workers Vote: People's Block II/28 Acquisition Number: / Notes: Reproduction of Munich Germany poster from 1924. Poster II/28 in Anschlн_ge: Deutsche Plakate als Dokumente der Zeit 1900 - 1960. Copyright Status: Public domain.,http://collection-politicalgraphics.org/mxgis/?kv=6593&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=6443&style=thumbnail; http://collection-politicalgraphics.org/mxgis/?kv=6567&style=thumbnail,
900,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=United+Farm+Workers&page=1&kv=787&record=0&module=objects,[Black and White Hands],ID Number: 14330 Maker: Mahar Adjmi; EarthSave; Second Nature Graphics Technique: offset Place Made: United States: California Santa Cruz Measurements: 43.2 cm x 28 cm; 17 in x 11 in Main Subject: Ecology; Hunger Materials: paper (fiber product) Digitized: Y Full Text: [Hamburger] = 12 Pounds Of Grain + 55 Square Feet of Rainforest + 2500 Gallons Of Water It take 12 pounds of grain to produce one pound of hamburger. This could make 8 loaves of bread or 24 plates of spaghetti. Grain consumption by livestock is increasing twice as fast as grain consumption by people. Cattle consume 70% of all US grain. While not all hamburgers come from the rainforest for every pound of rainforest beef approximately 660 pounds of precious living matter is destroyed including 20-30 different plant species over 100 insect species and dozens of birds mammals and reptiles. It takes 2500 gallons of water to produce one pound of hamburger. This could be used to grow more than 50 pounds of fruits and vegetables. Half of all water consumed in the US is used to grow feed and provide drinking water for cattle and other livestock. EarthSave Personal Food Choices... Global Results Make a difference 3 times a day. Shift to a plant-based diet. 1-800-DNA-DO-IT Њ‡ 1-800-363-3648 Њ‡ 706 Frederick Street Santa Cruz CA 95062 Printed by Second Nature Graphics using environmentally responsible materials and processes. As a result of this printing 15 trees have been planted through the reforestation campaign Nature ReLeaf. This poster is recyclable. Mahar Adjmi Design NYC Њ©halo promotions 212 642 8288 Acquisition Number: 2000-125 Copyright Status: Copyright status unknown; may be protected by copyright law.,http://collection-politicalgraphics.org/mxgis/?kv=50875&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=50606&style=thumbnail,
123,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=Capital+Punishment&page=1&kv=5787&record=3&module=objects,[Che Guevara],ID Number: 95 Maker: Elena Serrano; Organizaciн_n de Solidaridad de los Pueblos de Africa Asia y Amн©rica Latina (OSPAAAL) Technique: silkscreen Date Made: 1967 Place Made: Caribbean: Cuba Measurements: 54 cm x 34 cm; 21 1/4 in x 13 3/8 in Main Subject: Che Guevara (Ernesto Guevara); Viet Nam War Era Materials: paper (fiber product) Digitized: Y Full Text: [Che Guevara] Acquisition Number: 1993-087 Copyright Status: Copyright status unknown; may be protected by copyright law.,http://collection-politicalgraphics.org/mxgis/?kv=13015&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=13015&style=thumbnail; http://collection-politicalgraphics.org/mxgis/?kv=13016&style=thumbnail,
384,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=Peace+%28Anti-War%29&page=1&kv=195&record=8&module=objects,[Children with dove],ID Number: 15061 Maker: Chaz Maviyane-Davies; Tapestry Repro; Southern Litho Services; Ian Murphy; Jane Killips Technique: offset Date Made: 1996 Place Made: West Europe: United Kingdom; London Measurements: 83.8 cm x 59.4 cm; 33 in x 23 3/8 in Main Subject: Human Rights Materials: paper (fiber product) Digitized: Y Full Text: Article 4 No-one shall be held in slavery or servitude Design: Chaz Maviyane-Davies Photography: Ian Murphy Additional photography: Jane Killips Graphic Paintbox 2: John Murrell Production Assistant: Heather Cameron Origination: Tapestry Repro Printed by: Southern Litho Services on ESSE white smooth 80# 118G/M text ECF Gilbert Quantel Tapestry Repro Њ©Copyright 1996 Chaz Maviyane-Davies Acquisition Number: 2001-95 Notes: This may have originally been part of a calendar with 12 illustrated articles from the United Nations' Universal Declaration of Human Rights including 12 illustrated rights with the 13th being the cover. Copyright Status: Copyright status unknown; may be protected by copyright law. Exhibition Annotation: The Universal Declaration of Human Rights was adopted by the UN General Assembly on 10 December 1948. Through its 30 articles the international community vowed never to allow atrocities like those of World War II to happen again. This poster illustrates article 4 No one shall be held in slavery or servitude; slavery and the slave trade shall be prohibited in all their forms.,http://collection-politicalgraphics.org/mxgis/?kv=43011&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=42429&style=thumbnail,
1043,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=Politicians+%26+Campaigns&page=1&kv=34281&record=5&module=objects,[Christ Armed],"ID Number: 5372 Maker: Royal Chicano Air Force (RCAF); Louie ""the Foot"" Gonzalez; Rodolfo ""Rudy"" Cuellar; Committee to Abolish Prison Slavery Technique: silkscreen Date Made: 1977 Place Made: North America: United States; California Sacramento Measurements: 57.5 cm x 44.5 cm; 22 5/8 in x 17 1/2 in Main Subject: Prisons & Prisoners Materials: paper (fiber product) Digitized: Y Full Text: XIIIth Amendment of the U.S. Constitution certified December 1865; ""Neither slavery nor involuntary servitude Except As A Punishment For Crime Whereof The Party Shall Have Been Duly Convicted shall exist in the United States or any place subject to their jurisdiction."" Emancipation Proclamation; ""All persons held as slaves on the 1st of January 1863 in any State or parts of States then in rebellion should be thence forward and forever Free."" Abraham Lincoln September 1862 Committee to Abolish Prison Slavery 3126 Shattuck Ave Berkeley Ca. 94705 415-535-0931 CAPS Њ© RCAF '77 Acquisition Number: 1995-011 Copyright Status: Under copyright; used by CSPG for educational and research purposes only. Distribution or reproduction beyond that allowed by fair use requires the written permission of the copyright owners.",http://collection-politicalgraphics.org/mxgis/?kv=45467&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=45445&style=thumbnail,
236,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=Thailand+%28Asia%3A+Southeast+Asia%29&page=1&kv=38914&record=1&module=objects,[Coca-Cola],ID Number: 41428 Maker: Israeli Apartheid Week; Nidal El-Khairy Technique: offset Date Made: 2010 Place Made: Canada Measurements: 43.2 cm x 28 cm; 17 in x 11 in Main Subject: Israel (Middle East) Materials: paper (fiber product) Digitized: Y Full Text: www.apartheidweek.org Israeli Apartheid Week Boycott Divestment Sanctions March 1-7 2010 Acquisition Number: 2013-083 Copyright Status: Copyright status unknown; may be protected by copyright law.,http://collection-politicalgraphics.org/mxgis/?kv=46468&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=46284&style=thumbnail,
400,http://collection-politicalgraphics.org/detail.php?module=objects&type=browse&id=1&term=Mexico&page=1&kv=9348&record=28&module=objects,[Emiliano Zapata],ID Number: 41229 Maker: Stop Austн©ritн© Technique: offset Date Made: 2012 Place Made: France: Paris Measurements: 83.7 cm x 59.3 cm; 32 15/16 in x 23 3/8 in Main Subject: France (Europe) Materials: paper (fiber product) Digitized: Y Full Text: Manifestation www.stopausterite.org [on flag] Unitaire Contact@stopausterite.org Pour Une Europe Solidaire Non Au Traitн© D'Austн©ritн© Dim. 30 Sept. # 13H30 ну Nation Premiers signataires: Aitec-IPAM AC ! ANECR Attac CADTM Cedetim-IPAM CDDSP CNDF Les нЉconomistes Atterrн©s Fн©dн©ration des Finances CGT Fondation Copernic Front de gauche - Parti communiste franн_ais - Parti de gauche - Gauche unitaire - FASE - Rн©publique et Socialisme - PCOF - Convergence Alternative - Gauche anticapitaliste Les Alternatifs M'PEP Marches Europн©ennes MJC NPA Rн©seau н©ducation populaire Rн©sistance Sociale SNESUP-FSU Sud BPCE Transform! UD CGT 93 94 75 77 Union Syndicale de la Psychiatrie Union syndicale Solidaires... Acquisition Number: 2012-215 Notes: Collected in Paris in 2012 at FнИte de L'Humanitн© Copyright Status: Copyright status unknown; may be protected by copyright law.,http://collection-politicalgraphics.org/mxgis/?kv=46086&style=fullsize,http://collection-politicalgraphics.org/mxgis/?kv=45750&style=thumbnail,
